id;street_address;postal_code;city;state_province;gps
1;Secured productize;schemas;Octaviafurt;olive Ghana Games;34396
2;multi-byte Soft;Colombia Licensed Plastic Hat;Port Miles;generating Liaison Chief;81221
3;connecting;cross-platform;Rueckerbury;port neural;28874
4;e-markets Bike parse;Car Granite stable;North Sylvester;Concrete leading-edge;8784
5;COM Concrete sky blue;Bolivar Fuerte backing up;Boganmouth;Forward Refined Frozen Cheese Mali;96713
6;Plastic Small Soft Pizza;extend Fully-configurable e-services;Lake Julio;Exclusive Incredible Fresh Keyboard;61096
7;Designer Beauty;solutions;New Stellashire;mobile;33566
8;infomediaries Martinique turn-key;synthesize;Kearaport;JBOD;67479
9;calculating Checking Account;Movies Democratic People's Republic of Korea synthesizing;North Pete;embrace Forward;1055
10;connect TCP Mauritius;interface Concrete yellow;West Xzavier;bandwidth CSS Nicaragua;40733
